Distance_(pixels),Gray_Value
991,2.1197
992,1.3854
993,0.2795
994,0.0000
995,0.2761
996,6.9617
997,5.8474
998,0.3958
999,0.6420
1000,5.1319
1001,0.2030
1002,0.0000
1003,0.0000
1004,5.1256
1005,2.8159
1006,0.4580
1007,0.0781
1008,0.0000
1009,0.0000
1010,0.0000
1011,0.0000
1012,0.0000
1013,0.2449
1014,0.9726
1015,0.0000
1016,0.0000
1017,0.4759
1018,0.0971
1019,0.4943
1020,0.1006
1021,0.0000
1022,0.7284
1023,2.4551
1024,4.1827
1025,2.3166
1026,3.3322
1027,3.5347
1028,0.8755
1029,0.4343
1030,0.6463
1031,0.2393
1032,1.1214
1033,0.4204
1034,0.4582
1035,2.6203
1036,4.3836
1037,2.8132
1038,1.0078
1039,4.9345
1040,9.1543
1041,5.9454
1042,1.7517
1043,4.0525
1044,2.9904
1045,2.7122
1046,3.6052
1047,2.2947
1048,0.0000
1049,0.3017
1050,0.5141
1051,0.0000
1052,0.0000
1053,1.9288
1054,1.7240
1055,2.5272
1056,1.7037
1057,0.0000
1058,0.0000
1059,0.0000
1060,0.3269
1061,0.3234
1062,0.1600
1063,1.7172
1064,0.0000
1065,0.0000
1066,0.3606
1067,0.0000
1068,0.0000
1069,0.0000
1070,0.0000
1071,0.3333
1072,0.5706
1073,0.7046
1074,0.7216
1075,0.0000
1076,0.2714
1077,0.0000
1078,0.2011
1079,1.6667
1080,1.8409
1081,0.4126
1082,0.4160
1083,0.0000
1084,0.0000
1085,2.0660
1086,4.4609
1087,1.5167
1088,1.3104
1089,2.5410
1090,0.8875
1091,0.2236
1092,1.5680
1093,1.8020
1094,1.1893
1095,0.6667
1096,1.6259
1097,1.0000
1098,0.5691
1099,0.3333
1100,0.9568
1101,1.7591
1102,3.2401
1103,2.7108
1104,3.4613
1105,2.0940
1106,1.8374
1107,0.3280
1108,0.2408
1109,0.4713
1110,0.0000
1111,0.0000
1112,0.0000
1113,0.0716
1114,0.3333
1115,1.1289
1116,2.2682
1117,2.7413
1118,0.3333
1119,0.0000
1120,0.0000
1121,0.7822
1122,2.4454
1123,2.1162
1124,0.5616
1125,0.0000
1126,0.0000
1127,0.0947
1128,0.2877
1129,0.2894
1130,0.0000
1131,0.2021
1132,0.0000
1133,0.0000
1134,0.0000
