Distance_(pixels),Gray_Value
1244,1.598
1245,0.948
1246,5.754
1247,1.800
1248,1.319
1249,1.333
1250,2.000
1251,0.481
1252,0.000
1253,0.000
1254,0.000
1255,0.000
1256,0.000
1257,0.000
1258,3.242
1259,0.424
1260,0.364
1261,0.181
1262,0.000
1263,0.000
1264,2.361
1265,4.254
1266,0.974
1267,0.000
1268,0.423
1269,1.887
1270,1.311
1271,0.089
1272,0.000
1273,0.932
1274,4.157
1275,2.698
1276,0.246
1277,0.088
1278,0.262
1279,0.000
1280,0.000
1281,0.000
1282,1.753
1283,3.629
1284,1.816
1285,0.000
1286,1.450
1287,6.448
1288,0.941
1289,0.496
1290,5.134
1291,5.078
1292,3.271
1293,3.512
1294,3.819
1295,0.747
1296,0.000
1297,1.922
1298,2.499
1299,0.250
1300,0.250
1301,0.083
1302,0.000
1303,0.000
1304,3.426
1305,2.918
1306,7.841
1307,25.597
1308,30.598
1309,22.652
1310,12.333
1311,21.063
1312,7.019
1313,0.000
1314,0.000
1315,1.205
1316,4.109
1317,0.160
1318,4.305
1319,1.523
1320,1.429
1321,0.633
1322,0.000
1323,0.255
1324,0.255
1325,0.000
1326,0.255
1327,0.156
1328,0.000
1329,0.000
1330,0.000
1331,0.000
1332,0.000
1333,0.513
1334,1.027
1335,1.076
1336,0.771
1337,0.514
1338,0.152
1339,0.258
1340,0.591
1341,2.452
1342,1.000
1343,0.258
1344,4.034
1345,2.816
1346,5.179
1347,7.257
1348,2.408
1349,0.000
1350,0.000
1351,0.000
1352,0.000
1353,2.676
1354,0.218
1355,0.000
1356,0.000
1357,1.044
1358,0.000
1359,0.072
1360,0.143
1361,0.071
1362,0.476
1363,0.738
1364,1.901
1365,1.758
1366,0.000
1367,0.000
1368,0.070
1369,0.000
1370,0.000
1371,2.638
1372,3.000
1373,0.000
1374,0.000
1375,0.746
1376,1.294
1377,5.675
1378,2.530
1379,0.068
1380,0.531
1381,5.580
1382,7.453
1383,0.804
1384,0.067
1385,0.000
1386,0.000
1387,1.067
1388,10.682
1389,0.000
1390,0.000
1391,0.803
1392,0.000
1393,0.065
1394,1.000
1395,3.610
1396,0.269
1397,0.806
1398,0.807
1399,1.205
1400,0.192
1401,0.000
1402,1.206
1403,0.000
1404,1.081
1405,0.811
1406,0.000
1407,0.251
1408,0.687
1409,1.813
1410,1.147
1411,0.876
1412,0.642
1413,0.000
1414,0.245
1415,0.061
1416,0.000
1417,1.636
1418,0.000
1419,0.000
1420,0.000
1421,0.000
1422,3.616
1423,1.548
1424,2.466
1425,1.059
1426,0.177
1427,0.000
1428,0.000
1429,0.058
1430,0.058
1431,0.000
1432,0.000
1433,6.020
1434,5.633
1435,0.000
1436,0.000
1437,0.000
1438,0.000
1439,0.277
1440,1.558
1441,2.517
1442,3.561
1443,0.500
1444,0.000
1445,0.111
1446,0.609
1447,0.278
1448,0.000
1449,0.000
1450,0.000
1451,0.000
1452,0.054
1453,1.344
1454,0.536
1455,0.427
1456,1.333
1457,9.940
1458,3.984
1459,0.281
1460,0.333
1461,0.209
1462,3.083
1463,2.867
1464,3.868
1465,3.512
1466,2.923
1467,1.075
1468,5.570
1469,9.610
1470,3.131
1471,0.101
1472,0.000
1473,0.567
1474,0.298
1475,0.000
1476,0.000
1477,1.306
1478,0.284
1479,0.000
1480,0.000
1481,0.000
1482,0.000
1483,0.000
1484,0.286
1485,4.048
1486,1.858
1487,2.144
1488,0.706
1489,0.609
1490,0.000
1491,0.000
1492,0.000
1493,0.621
1494,1.285
1495,0.960
1496,0.273
1497,0.288
1498,4.611
1499,0.865
1500,0.000
1501,0.089
1502,2.601
1503,4.338
1504,7.919
1505,8.404
1506,8.113
1507,7.539
1508,6.451
1509,0.505
1510,0.000
1511,0.000
1512,2.370
1513,2.296
1514,0.877
1515,5.456
1516,7.667
1517,3.585
1518,2.289
1519,0.918
1520,0.000
1521,0.000
1522,0.000
1523,0.000
1524,0.293
1525,0.000
1526,0.000
1527,0.000
1528,0.275
1529,0.039
1530,1.766
1531,0.000
1532,0.000
1533,0.000
1534,0.458
1535,1.789
1536,2.007
1537,0.000
1538,1.184
1539,1.000
1540,0.000
1541,0.000
1542,1.853
1543,4.453
1544,5.043
1545,0.036
1546,0.297
1547,2.155
1548,0.000
1549,0.333
1550,0.316
1551,0.559
1552,0.799
1553,3.345
1554,8.863
1555,5.171
1556,0.599
1557,0.000
1558,0.734
1559,1.167
1560,2.333
1561,8.370
1562,10.071
1563,7.261
1564,7.454
1565,8.968
1566,7.635
1567,6.841
1568,13.844
1569,8.724
1570,5.792
1571,12.944
1572,8.444
1573,2.908
1574,4.817
1575,4.545
1576,1.239
1577,5.329
1578,8.762
1579,6.498
1580,0.000
1581,0.000
1582,0.000
1583,0.000
1584,0.000
1585,0.000
1586,0.056
1587,0.364
1588,0.723
1589,0.000
1590,0.000
1591,0.054
1592,3.018
1593,9.103
1594,0.307
1595,8.899
1596,4.149
1597,4.229
1598,0.000
1599,2.513
1600,8.463
1601,2.485
1602,2.584
1603,7.159
1604,1.901
1605,0.000
1606,0.000
1607,0.000
1608,0.000
1609,0.071
1610,0.236
1611,5.263
1612,8.365
1613,5.264
1614,0.000
1615,0.000
1616,0.622
1617,0.000
1618,0.000
1619,0.328
1620,4.182
1621,2.667
1622,0.837
1623,4.375
1624,7.667
1625,6.876
1626,5.646
1627,2.020
1628,0.333
1629,0.532
1630,2.903
1631,1.883
1632,0.000
1633,0.000
1634,0.000
1635,0.000
1636,0.037
1637,3.220
1638,0.624
1639,2.126
1640,4.964
1641,3.421
1642,1.455
1643,1.948
1644,7.027
1645,0.017
1646,0.000
1647,0.000
1648,0.000
1649,0.317
1650,0.016
1651,0.000
1652,0.000
1653,0.000
1654,0.000
1655,0.030
1656,0.319
1657,1.073
1658,2.029
1659,0.376
1660,0.639
1661,2.876
1662,10.552
1663,2.880
1664,0.320
1665,0.026
1666,0.321
1667,0.000
1668,0.000
1669,0.000
1670,0.000
1671,0.000
1672,5.469
1673,0.000
1674,0.000
1675,0.011
1676,0.033
1677,3.549
1678,3.551
1679,0.000
1680,5.818
1681,3.099
1682,0.301
1683,1.467
1684,1.900
1685,0.000
1686,0.000
1687,0.000
1688,0.410
1689,4.642
1690,2.374
1691,0.088
1692,0.031
1693,0.000
1694,0.000
1695,0.333
1696,0.007
1697,0.068
1698,0.100
1699,0.378
1700,3.610
1701,5.303
1702,3.374
1703,0.017
1704,0.000
1705,0.000
1706,0.000
1707,0.000
1708,0.000
1709,0.000
1710,0.000
1711,0.000
1712,0.000
1713,6.262
1714,3.358
1715,0.401
1716,0.997
1717,0.036
1718,0.028
1719,0.003
1720,1.000
1721,0.000
1722,1.992
1723,6.971
1724,3.654
1725,5.310
1726,3.654
1727,0.332
1728,0.332
1729,0.002
1730,2.006
1731,7.329
1732,9.620E-4
1733,0.000
1734,0.000
1735,0.000
1736,0.000
1737,0.003
1738,0.003
1739,0.000
1740,0.000
1741,0.000
1742,5.333
1743,7.970
1744,0.000
1745,0.000
1746,2.992
1747,6.342
1748,8.015
1749,12.968
1750,8.013
1751,0.745
1752,0.023
1753,0.000
1754,0.000
1755,0.000
1756,4.284
1757,5.986
1758,0.000
1759,0.000
1760,2.624
1761,3.667
1762,0.011
1763,0.655
1764,0.000
1765,0.000
1766,0.000
1767,0.000
1768,0.000
1769,0.000
1770,0.000
1771,0.000
1772,0.000
1773,0.008
1774,0.024
1775,0.000
1776,0.000
1777,0.000
1778,3.272
1779,3.369
1780,0.018
1781,0.343
1782,0.019
1783,0.019
1784,8.891
1785,7.869
1786,3.876
1787,0.010
1788,0.032
1789,0.011
1790,1.978
1791,2.266
1792,1.322
1793,0.000
1794,0.690
1795,6.919
1796,5.394
1797,0.000
1798,0.000
1799,0.000
1800,0.000
1801,0.000
1802,0.000
1803,0.000
1804,0.000
1805,0.000
1806,0.000
1807,1.072
1808,5.290
1809,1.510
1810,1.149
1811,4.182
1812,10.269
1813,8.752
1814,5.573
1815,2.698
1816,0.683
1817,0.000
1818,0.000
1819,0.000
1820,0.000
1821,0.051
1822,0.034
1823,5.017
1824,3.123
1825,9.222
1826,1.928
1827,0.127
1828,0.000
1829,0.000
1830,0.000
1831,0.000
1832,0.000
1833,0.000
1834,0.000
1835,7.373
1836,1.752
1837,0.940
1838,4.069
1839,0.000
1840,1.876
1841,1.397
1842,0.042
1843,2.567
1844,4.388
1845,0.000
1846,0.421
1847,10.050
1848,0.622
1849,2.244
1850,7.136
1851,2.849
1852,4.747
1853,2.426
1854,7.357
1855,5.667
1856,13.428
1857,36.998
1858,52.662
1859,58.350
1860,60.284
1861,53.728
1862,44.159
1863,37.057
1864,24.536
1865,14.947
1866,11.026
1867,9.181
1868,7.667
1869,7.026
1870,15.444
1871,12.014
1872,4.441
1873,6.622
1874,4.646
1875,0.945
1876,1.862
1877,0.917
1878,0.916
1879,0.305
1880,2.646
1881,4.762
1882,3.103
1883,4.566
1884,4.521
1885,0.304
1886,1.215
1887,1.214
1888,0.000
1889,0.512
1890,0.333
1891,0.000
1892,0.061
1893,1.006
1894,9.186
1895,3.989
1896,0.000
1897,0.000
1898,0.000
1899,1.622
1900,0.419
1901,0.000
1902,0.601
1903,0.066
1904,0.033
1905,0.000
1906,0.600
1907,0.000
1908,0.000
1909,3.892
1910,0.000
1911,0.515
1912,2.264
1913,0.000
