Distance_(pixels),Gray_Value
1226,11.2929
1227,14.8533
1228,3.5898
1229,12.0399
1230,5.9122
1231,4.0439
1232,0.0000
1233,1.5973
1234,3.8850
1235,7.0583
1236,4.9001
1237,16.6303
1238,5.5084
1239,2.2738
1240,0.0000
1241,0.6534
1242,9.9324
1243,0.7961
1244,0.4679
1245,0.6488
1246,12.2605
1247,8.3663
1248,14.2305
1249,21.8758
1250,7.8873
1251,6.7227
1252,4.5725
1253,0.7239
1254,6.2444
1255,7.6834
1256,3.5303
1257,10.2611
1258,17.8798
1259,14.5454
1260,20.8163
1261,31.5344
1262,12.0428
1263,5.7221
1264,4.6979
1265,9.5771
1266,12.1040
1267,9.2473
1268,2.1075
1269,1.5979
1270,6.3986
1271,7.2704
1272,4.5378
1273,12.8146
1274,4.5973
1275,3.4893
1276,5.3715
1277,7.0815
1278,8.5425
1279,9.6332
1280,21.4061
1281,12.9728
1282,1.7395
1283,6.7019
1284,12.1225
1285,1.2721
1286,1.0196
1287,6.5887
1288,8.1612
1289,9.9434
1290,7.3310
1291,13.4581
1292,15.8914
1293,28.8365
1294,20.0687
1295,15.9336
1296,12.4154
1297,13.8203
1298,13.1641
1299,11.3299
1300,23.5702
1301,12.6667
1302,8.1872
1303,0.5055
1304,2.0797
1305,5.4269
1306,9.1398
1307,13.2195
1308,5.0913
1309,2.6118
1310,5.7741
1311,16.4899
1312,24.7816
1313,9.5170
1314,6.7198
1315,7.9220
1316,8.6615
1317,18.4650
1318,18.4910
1319,10.2837
1320,7.2831
1321,10.8769
1322,8.0127
1323,12.9665
1324,7.9613
1325,15.0491
1326,18.3235
1327,13.4315
1328,15.4281
1329,9.1121
1330,4.2767
1331,3.3333
1332,13.0780
1333,13.2068
1334,12.3547
1335,7.3853
1336,10.6285
1337,15.8533
1338,14.8700
1339,5.6285
1340,9.3553
1341,6.2438
1342,3.5581
1343,2.0173
1344,0.8943
1345,10.7239
1346,11.8845
1347,8.0999
1348,5.1063
1349,8.1358
1350,7.7926
1351,0.5529
1352,12.2842
1353,30.4714
1354,22.8977
1355,18.5055
1356,22.4333
1357,25.7903
1358,21.8417
1359,20.9913
1360,18.1184
1361,12.9746
1362,16.1589
1363,27.4962
1364,24.6360
1365,15.6915
1366,16.8914
1367,31.1028
1368,33.8827
1369,37.0127
1370,31.9607
1371,15.1739
1372,14.2080
1373,25.6811
1374,20.7770
1375,7.1560
1376,1.4876
1377,0.7423
1378,7.1802
1379,23.8954
1380,29.0220
1381,5.6776
1382,8.3091
1383,6.9844
1384,8.6037
1385,4.0006
1386,6.1652
1387,1.1346
1388,1.5852
1389,5.5321
1390,12.5315
1391,15.7025
1392,15.7458
1393,6.5956
1394,0.3894
1395,4.1098
1396,6.0110
1397,0.3859
1398,1.6534
1399,21.6615
1400,21.8013
1401,16.7192
1402,3.2808
1403,1.1369
1404,8.8446
1405,14.6083
1406,13.1987
1407,15.2282
1408,12.3588
1409,9.9376
1410,17.3073
1411,13.5517
1412,15.1329
1413,6.2178
1414,0.7510
1415,3.1190
1416,4.3640
1417,13.3131
1418,5.6320
1419,8.5384
1420,13.7140
1421,10.0052
1422,5.9053
1423,2.4009
1424,10.5748
1425,7.4997
1426,8.5378
1427,14.4194
1428,10.6927
1429,2.7943
1430,6.3484
1431,6.4668
1432,6.5425
1433,10.2051
1434,12.2207
1435,13.9503
1436,19.8146
1437,27.6095
1438,25.7239
1439,25.5505
1440,20.5217
1441,13.1935
1442,7.9994
1443,3.0006
1444,2.4870
1445,13.8232
1446,31.5667
1447,30.0208
1448,28.0809
1449,23.6817
1450,31.8400
1451,31.0635
1452,31.7620
1453,36.3940
1454,29.7065
1455,28.7100
1456,35.0809
1457,26.8250
1458,15.2114
1459,27.3478
1460,27.2831
1461,23.3484
1462,23.9076
1463,16.9763
1464,12.1294
1465,9.7966
1466,8.7210
1467,2.3160
1468,2.7938
1469,4.0901
1470,5.9919
1471,13.4240
1472,14.2877
1473,20.5095
1474,26.6696
1475,16.6268
1476,14.7452
1477,12.9492
1478,11.4899
1479,11.1606
1480,3.2317
1481,5.0335
1482,4.7123
1483,19.3218
1484,9.0982
1485,4.9717
1486,15.7579
1487,20.3218
1488,21.3507
1489,17.0867
1490,7.9116
1491,7.5841
1492,15.2761
1493,12.9832
1494,9.3512
1495,11.1820
1496,10.5685
1497,13.8018
1498,13.1664
1499,6.4743
1500,10.0653
1501,9.8042
1502,5.2010
1503,5.3252
1504,1.0000
1505,2.7666
1506,7.4067
1507,5.8510
1508,5.0000
1509,5.0000
1510,8.7019
1511,4.8417
1512,4.5546
1513,8.9336
1514,7.4159
1515,5.0855
1516,7.5095
1517,7.2958
1518,9.2259
1519,5.8094
1520,6.0647
1521,7.9093
1522,16.1704
1523,24.6979
1524,20.5875
1525,12.0000
1526,7.6141
1527,14.2022
1528,12.2773
1529,17.1820
1530,9.3293
1531,8.0930
1532,6.3333
1533,9.1144
1534,17.2034
1535,13.7354
1536,5.6233
1537,11.1207
1538,7.0000
1539,7.7782
1540,17.1427
1541,17.3131
1542,7.8330
1543,3.5806
1544,8.2097
1545,19.8729
1546,18.2571
1547,31.2559
1548,22.1716
1549,17.7874
1550,16.7978
1551,15.1681
1552,12.6436
1553,7.9752
1554,6.7198
1555,22.7464
1556,9.8908
1557,9.3541
1558,20.1635
1559,30.3784
1560,24.9884
1561,11.7886
1562,15.8954
1563,12.9284
1564,8.4824
1565,16.0092
1566,21.0936
1567,15.3437
1568,9.2975
1569,3.7897
1570,1.0231
1571,5.0953
1572,14.0266
1573,19.2935
1574,20.0046
1575,15.8284
1576,14.7961
1577,15.5777
1578,11.6667
1579,5.1774
1580,4.9440
1581,4.8134
1582,3.9890
1583,6.6915
1584,7.8769
1585,3.7389
1586,0.2496
1587,6.8342
1588,10.0855
1589,7.6210
1590,10.3634
1591,14.6077
1592,10.5985
1593,12.5650
1594,9.7793
1595,7.9024
1596,9.1485
1597,12.8706
1598,5.2045
1599,7.9324
1600,18.6233
1601,11.9012
1602,3.7060
1603,5.1115
1604,9.4529
1605,12.5402
1606,3.7666
1607,2.6447
1608,11.7701
1609,13.6534
1610,23.1612
1611,18.5679
1612,8.5020
1613,8.3790
1614,0.0000
1615,0.0000
1616,3.9324
1617,4.4691
1618,7.8833
1619,13.2490
1620,15.9237
1621,10.0000
1622,12.9815
1623,13.7915
1624,17.2958
1625,14.7279
1626,11.5153
1627,7.4535
1628,9.0947
1629,11.9226
1630,15.5084
1631,18.6401
1632,17.0375
1633,17.1635
1634,20.0531
1635,16.1652
1636,11.4939
1637,14.8296
1638,20.5373
1639,23.2611
1640,25.0895
1641,14.7828
1642,9.9752
1643,11.7683
1644,12.6667
1645,7.3975
1646,9.8244
1647,8.6118
1648,3.7100
1649,15.1034
1650,17.4558
1651,7.7689
1652,6.1508
1653,1.7660
1654,0.0000
1655,0.0000
1656,1.8267
1657,9.2906
1658,5.7210
1659,8.6672
1660,8.8718
1661,22.8873
1662,27.9636
1663,12.1762
1664,6.6817
1665,4.0676
1666,4.4367
1667,7.9266
1668,8.7643
1669,11.2894
1670,10.2172
1671,12.8053
1672,12.9053
1673,23.8146
1674,11.8273
1675,20.7412
1676,24.1750
1677,27.6782
1678,20.1155
1679,18.5165
1680,13.5783
1681,15.4934
1682,24.5973
1683,24.4183
1684,20.0121
1685,15.8625
1686,26.5413
1687,22.7655
1688,9.7100
1689,11.4304
1690,13.8833
1691,11.5511
1692,12.5765
1693,5.7984
1694,3.3847
1695,9.0000
1696,34.9278
1697,23.4107
1698,13.1334
1699,27.0006
1700,31.3911
1701,4.6667
1702,5.5344
1703,11.1294
1704,9.8596
1705,17.6066
1706,11.8989
1707,18.4032
1708,20.3599
1709,16.8221
1710,16.2727
1711,17.2640
1712,18.0479
1713,8.7395
1714,7.3923
