ppm,val
-1.591334,0.000272
-1.590938,0.000286
-1.590542,0.000251
-1.590145,0.000193
-1.589749,0.000170
-1.589352,0.000195
-1.588956,0.000228
-1.588559,0.000237
-1.588163,0.000220
-1.587766,0.000185
-1.587370,0.000159
-1.586973,0.000178
-1.586577,0.000237
-1.586180,0.000269
-1.585784,0.000229
-1.585388,0.000168
-1.584991,0.000168
-1.584595,0.000226
-1.584198,0.000267
-1.583802,0.000255
-1.583405,0.000215
-1.583009,0.000168
-1.582612,0.000115
-1.582216,0.000085
-1.581819,0.000117
-1.581423,0.000191
-1.581026,0.000253
-1.580630,0.000295
-1.580234,0.000349
-1.579837,0.000398
-1.579441,0.000382
-1.579044,0.000302
-1.578648,0.000228
-1.578251,0.000198
-1.577855,0.000183
-1.577458,0.000166
-1.577062,0.000183
-1.576665,0.000238
-1.576269,0.000269
-1.575873,0.000232
-1.575476,0.000172
-1.575080,0.000150
-1.574683,0.000175
-1.574287,0.000225
-1.573890,0.000287
-1.573494,0.000342
-1.573097,0.000357
-1.572701,0.000339
-1.572304,0.000346
-1.571908,0.000401
-1.571511,0.000453
-1.571115,0.000443
-1.570719,0.000379
-1.570322,0.000309
-1.569926,0.000251
-1.569529,0.000203
-1.569133,0.000173
-1.568736,0.000175
-1.568340,0.000202
-1.567943,0.000238
-1.567547,0.000266
-1.567150,0.000271
-1.566754,0.000242
-1.566357,0.000204
-1.565961,0.000190
-1.565565,0.000197
-1.565168,0.000191
-1.564772,0.000179
-1.564375,0.000199
-1.563979,0.000244
-1.563582,0.000259
-1.563186,0.000223
-1.562789,0.000186
-1.562393,0.000199
-1.561996,0.000252
-1.561600,0.000309
-1.561204,0.000339
-1.560807,0.000309
-1.560411,0.000207
-1.560014,0.000095
-1.559618,0.000079
-1.559221,0.000173
-1.558825,0.000285
-1.558428,0.000339
-1.558032,0.000358
-1.557635,0.000376
-1.557239,0.000374
-1.556842,0.000329
-1.556446,0.000267
-1.556050,0.000212
-1.555653,0.000141
-1.555257,0.000064
-1.554860,0.000049
-1.554464,0.000115
-1.554067,0.000174
-1.553671,0.000151
-1.553274,0.000092
-1.552878,0.000080
-1.552481,0.000116
-1.552085,0.000154
-1.551689,0.000198
-1.551292,0.000258
-1.550896,0.000286
-1.550499,0.000244
-1.550103,0.000195
-1.549706,0.000212
-1.549310,0.000265
-1.548913,0.000272
-1.548517,0.000237
-1.548120,0.000223
-1.547724,0.000232
-1.547327,0.000222
-1.546931,0.000203
-1.546535,0.000211
-1.546138,0.000213
-1.545742,0.000158
-1.545345,0.000090
-1.544949,0.000102
-1.544552,0.000170
-1.544156,0.000177
-1.543759,0.000101
-1.543363,0.000045
-1.542966,0.000075
-1.542570,0.000132
-1.542173,0.000155
-1.541777,0.000164
-1.541381,0.000193
-1.540984,0.000219
