ppm,val
-1.347692,-0.000011
-1.347295,-0.000016
-1.346899,-0.000040
-1.346502,-0.000062
-1.346106,-0.000058
-1.345710,-0.000023
-1.345313,0.000015
-1.344917,0.000018
-1.344520,-0.000023
-1.344124,-0.000064
-1.343727,-0.000049
-1.343331,0.000016
-1.342934,0.000071
-1.342538,0.000076
-1.342141,0.000047
-1.341745,0.000002
-1.341349,-0.000058
-1.340952,-0.000113
-1.340556,-0.000112
-1.340159,-0.000042
-1.339763,0.000034
-1.339366,0.000041
-1.338970,-0.000021
-1.338573,-0.000095
-1.338177,-0.000137
-1.337780,-0.000146
-1.337384,-0.000134
-1.336987,-0.000112
-1.336591,-0.000085
-1.336195,-0.000050
-1.335798,-0.000003
-1.335402,0.000039
-1.335005,0.000043
-1.334609,0.000006
-1.334212,-0.000036
-1.333816,-0.000052
-1.333419,-0.000049
-1.333023,-0.000048
-1.332626,-0.000050
-1.332230,-0.000053
-1.331834,-0.000070
-1.331437,-0.000102
-1.331041,-0.000117
-1.330644,-0.000093
-1.330248,-0.000056
-1.329851,-0.000044
-1.329455,-0.000059
-1.329058,-0.000076
-1.328662,-0.000078
-1.328265,-0.000063
-1.327869,-0.000035
-1.327472,-0.000012
-1.327076,-0.000034
-1.326680,-0.000104
-1.326283,-0.000170
-1.325887,-0.000185
-1.325490,-0.000164
-1.325094,-0.000150
-1.324697,-0.000140
-1.324301,-0.000105
-1.323904,-0.000051
-1.323508,-0.000017
-1.323111,-0.000018
-1.322715,-0.000036
-1.322318,-0.000055
-1.321922,-0.000077
-1.321526,-0.000089
-1.321129,-0.000078
-1.320733,-0.000054
-1.320336,-0.000038
-1.319940,-0.000021
-1.319543,0.000013
-1.319147,0.000039
-1.318750,0.000016
-1.318354,-0.000042
-1.317957,-0.000072
-1.317561,-0.000052
-1.317165,-0.000027
-1.316768,-0.000041
-1.316372,-0.000077
-1.315975,-0.000088
-1.315579,-0.000049
-1.315182,0.000026
-1.314786,0.000094
-1.314389,0.000107
-1.313993,0.000056
-1.313596,0.000003
-1.313200,0.000014
-1.312803,0.000070
-1.312407,0.000086
-1.312011,0.000035
-1.311614,-0.000021
-1.311218,-0.000029
-1.310821,-0.000020
-1.310425,-0.000045
-1.310028,-0.000088
-1.309632,-0.000101
-1.309235,-0.000082
-1.308839,-0.000063
-1.308442,-0.000052
-1.308046,-0.000041
-1.307650,-0.000043
-1.307253,-0.000078
-1.306857,-0.000118
-1.306460,-0.000111
-1.306064,-0.000054
-1.305667,-0.000000
-1.305271,0.000018
-1.304874,0.000019
-1.304478,0.000029
-1.304081,0.000036
-1.303685,0.000013
-1.303288,-0.000038
-1.302892,-0.000091
-1.302496,-0.000120
-1.302099,-0.000121
-1.301703,-0.000104
-1.301306,-0.000084
-1.300910,-0.000065
-1.300513,-0.000045
-1.300117,-0.000034
-1.299720,-0.000052
-1.299324,-0.000102
-1.298927,-0.000148
-1.298531,-0.000155
-1.298134,-0.000122
-1.297738,-0.000076
-1.297342,-0.000034
-1.296945,0.000002
-1.296549,0.000020
-1.296152,-0.000001
-1.295756,-0.000053
-1.295359,-0.000094
-1.294963,-0.000076
-1.294566,-0.000008
-1.294170,0.000056
-1.293773,0.000066
-1.293377,0.000033
-1.292981,0.000008
-1.292584,0.000021
-1.292188,0.000046
-1.291791,0.000051
-1.291395,0.000045
-1.290998,0.000063
-1.290602,0.000105
-1.290205,0.000119
-1.289809,0.000065
-1.289412,-0.000032
-1.289016,-0.000111
-1.288619,-0.000134
-1.288223,-0.000107
-1.287827,-0.000071
-1.287430,-0.000069
-1.287034,-0.000105
-1.286637,-0.000139
-1.286241,-0.000135
-1.285844,-0.000108
-1.285448,-0.000098
-1.285051,-0.000092
-1.284655,-0.000043
-1.284258,0.000041
-1.283862,0.000080
-1.283466,0.000029
-1.283069,-0.000056
-1.282673,-0.000097
-1.282276,-0.000092
-1.281880,-0.000080
-1.281483,-0.000064
-1.281087,-0.000029
-1.280690,-0.000011
-1.280294,-0.000051
-1.279897,-0.000115
-1.279501,-0.000126
-1.279104,-0.000079
-1.278708,-0.000040
-1.278312,-0.000047
-1.277915,-0.000062
-1.277519,-0.000059
-1.277122,-0.000063
-1.276726,-0.000095
-1.276329,-0.000126
-1.275933,-0.000127
-1.275536,-0.000114
-1.275140,-0.000107
-1.274743,-0.000092
-1.274347,-0.000065
-1.273950,-0.000049
-1.273554,-0.000056
-1.273158,-0.000067
-1.272761,-0.000075
-1.272365,-0.000109
-1.271968,-0.000164
-1.271572,-0.000177
-1.271175,-0.000121
-1.270779,-0.000071
-1.270382,-0.000105
-1.269986,-0.000175
-1.269589,-0.000171
-1.269193,-0.000089
-1.268797,-0.000047
-1.268400,-0.000106
-1.268004,-0.000178
-1.267607,-0.000155
-1.267211,-0.000059
-1.266814,-0.000007
-1.266418,-0.000042
-1.266021,-0.000089
-1.265625,-0.000069
-1.265228,0.000001
-1.264832,0.000042
-1.264435,0.000018
-1.264039,-0.000026
-1.263643,-0.000032
-1.263246,0.000001
-1.262850,0.000022
-1.262453,0.000000
-1.262057,-0.000038
-1.261660,-0.000044
-1.261264,-0.000005
-1.260867,0.000039
-1.260471,0.000045
-1.260074,0.000006
-1.259678,-0.000046
-1.259282,-0.000075
-1.258885,-0.000075
-1.258489,-0.000065
-1.258092,-0.000056
-1.257696,-0.000045
-1.257299,-0.000034
-1.256903,-0.000044
-1.256506,-0.000086
-1.256110,-0.000129
-1.255713,-0.000138
-1.255317,-0.000120
-1.254920,-0.000108
-1.254524,-0.000110
-1.254128,-0.000108
-1.253731,-0.000106
-1.253335,-0.000127
-1.252938,-0.000159
-1.252542,-0.000154
-1.252145,-0.000103
-1.251749,-0.000058
-1.251352,-0.000059
-1.250956,-0.000079
-1.250559,-0.000090
-1.250163,-0.000110
-1.249766,-0.000146
-1.249370,-0.000143
-1.248974,-0.000057
-1.248577,0.000049
-1.248181,0.000065
-1.247784,-0.000006
-1.247388,-0.000058
-1.246991,-0.000035
-1.246595,0.000006
-1.246198,0.000000
-1.245802,-0.000030
-1.245405,-0.000037
-1.245009,-0.000032
-1.244613,-0.000043
-1.244216,-0.000041
-1.243820,0.000017
-1.243423,0.000100
-1.243027,0.000120
-1.242630,0.000060
-1.242234,-0.000006
-1.241837,-0.000012
-1.241441,0.000022
-1.241044,0.000029
-1.240648,-0.000002
-1.240251,-0.000027
-1.239855,-0.000013
-1.239459,0.000012
-1.239062,0.000006
-1.238666,-0.000026
-1.238269,-0.000037
-1.237873,-0.000001
-1.237476,0.000040
-1.237080,0.000028
-1.236683,-0.000033
-1.236287,-0.000084
-1.235890,-0.000084
-1.235494,-0.000057
-1.235098,-0.000046
-1.234701,-0.000057
-1.234305,-0.000067
-1.233908,-0.000061
-1.233512,-0.000053
-1.233115,-0.000059
-1.232719,-0.000081
-1.232322,-0.000104
-1.231926,-0.000102
-1.231529,-0.000064
-1.231133,-0.000014
-1.230736,0.000005
-1.230340,-0.000022
-1.229944,-0.000056
-1.229547,-0.000054
-1.229151,-0.000030
-1.228754,-0.000027
-1.228358,-0.000058
-1.227961,-0.000086
-1.227565,-0.000072
-1.227168,-0.000024
-1.226772,0.000022
-1.226375,0.000042
-1.225979,0.000041
-1.225582,0.000032
-1.225186,0.000012
-1.224790,-0.000033
-1.224393,-0.000103
-1.223997,-0.000169
-1.223600,-0.000193
-1.223204,-0.000169
-1.222807,-0.000133
-1.222411,-0.000120
-1.222014,-0.000128
-1.221618,-0.000133
-1.221221,-0.000127
-1.220825,-0.000122
-1.220429,-0.000127
-1.220032,-0.000130
-1.219636,-0.000117
-1.219239,-0.000095
-1.218843,-0.000082
-1.218446,-0.000073
-1.218050,-0.000048
-1.217653,-0.000009
-1.217257,0.000003
-1.216860,-0.000049
-1.216464,-0.000136
-1.216067,-0.000180
-1.215671,-0.000144
-1.215275,-0.000079
-1.214878,-0.000051
-1.214482,-0.000051
-1.214085,-0.000036
-1.213689,-0.000014
-1.213292,-0.000038
-1.212896,-0.000105
-1.212499,-0.000138
-1.212103,-0.000096
-1.211706,-0.000040
-1.211310,-0.000039
-1.210913,-0.000064
-1.210517,-0.000041
-1.210121,0.000022
-1.209724,0.000039
-1.209328,-0.000019
-1.208931,-0.000090
-1.208535,-0.000110
-1.208138,-0.000094
-1.207742,-0.000087
-1.207345,-0.000100
-1.206949,-0.000115
-1.206552,-0.000125
-1.206156,-0.000125
-1.205760,-0.000113
-1.205363,-0.000108
-1.204967,-0.000143
-1.204570,-0.000204
-1.204174,-0.000212
-1.203777,-0.000130
-1.203381,-0.000024
-1.202984,0.000006
-1.202588,-0.000046
-1.202191,-0.000093
-1.201795,-0.000091
-1.201398,-0.000079
-1.201002,-0.000093
-1.200606,-0.000105
-1.200209,-0.000084
-1.199813,-0.000068
